Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,,
Sosander,Dresses,Red,https://www.sosandar.com/petite-red-figure-flattering-belted-pencil-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_165_a24dw005rd0017_165_110_1.jpg,Petite Red Figure Flattering Belted Pencil Dress,£89.00,,,,,,,,,,,petite red figure flattering belted pencil dress
Sosander,Skirts,Blue,https://www.sosandar.com/petite-mid-blue-figure-flattering-denim-skirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_160_a24sd006be0010_160_022_1.jpg,Petite Mid Blue Figure-Flattering Denim Skirt,£55.00,,,,,,,,,,,petite mid blue figure-flattering denim skirt
Sosander,Jumpsuits & Playsuits,Blue,https://www.sosandar.com/petite-indigo-blue-western-bootcut-denim-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_125_a24jd002in0007_125_065_1.jpg,Petite Indigo Blue Bootcut Denim Jumpsuit,£89.00,,,,,,,,,,,petite indigo blue bootcut denim jumpsuit
Sosander,Blazers,Red,https://www.sosandar.com/petite-rich-pink-tailored-blazer,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_63_a24ow078rd0003_a24bw045rd0003_63_31_2.jpg,Petite Rich Pink Tailored Blazer,£85.00,,,,,,,,,,,petite rich pink tailored blazer
Sosander,Leggings & Jeggings,Brown,https://www.sosandar.com/petite-natural-animal-print-mesh-ruched-waist-fit-flare-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_184_a24dj005nean01_184_037_1.jpg,Petite Animal Print Mesh Ruched Waist Fit & Flare Dress,£75.00,,,,,,,,,,,petite animal print mesh ruched waist fit & flare dress
Sosander,Dresses,Blue,https://www.sosandar.com/petite-denim-long-sleeve-midaxi-shirt-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2407_02_a24dd011be0010_02_055_1.jpg,Petite Mid Blue Midaxi Denim Dress,£79.00,,,,,,,,,,,petite mid blue midaxi denim dress
Sosander,Trousers,Orange,https://www.sosandar.com/petite-orange-plisse-wide-leg-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2406_04_s24bw063oe0002_04_175_1.jpg,Petite Orange Plisse Wide Leg Trousers,£55.00,,,,,,,,,,,petite orange plisse wide leg trousers
Sosander,Tops,Cream,https://www.sosandar.com/petite-champagne-gold-premium-satin-one-shoulder-top,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2404_27_s24tw096cm0002_27_0086_1.jpg,Petite Champagne Gold Premium Satin One Shoulder Top,£45.00,,,,,,,,,,,petite champagne gold premium satin one shoulder top
Sosander,Dresses,Blue,https://www.sosandar.com/petite-yellow-puff-sleeve-belted-denim-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_56_s24dd010le0001_56_113_1.jpg,Petite Yellow Puff Sleeve Belted Denim Dress,£75.00,,,,,,,,,,,petite yellow puff sleeve belted denim dress
Sosander,Trousers,Cream,https://www.sosandar.com/petite-ivory-faux-leather-wide-leg-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_20_s23bp006we0001_s24tj160bk0001_20_018_2.jpg,Petite Ivory Faux Leather Wide Leg Trousers,£65.00,,,,,,,,,,,petite ivory faux leather wide leg trousers
