Brand,Category,Colour,Main Image,Product Name,Product Link,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,,,,,,
Chi Chi London,Dresses,Red,https://img-va.myshopline.com/image/store/1709554475197/71277MU-25-2.jpg?w=913&h=1222,Halter Neck Floral Embroidered Bodycon Dress in Blue,https://www.chichiclothing.com/products/halter-floral-embroidered-lace-bodycon-dress-in-multi,£55.00,£110.00,(50% OFF),,,,,,,,halter neck floral embroidered bodycon dress in blue
Chi Chi London,Dresses,Black,https://img-va.myshopline.com/image/store/1709554475197/71169PBK-44626-2.jpg?w=913&h=1222,Petite Long Sleeve Cut Out Party Midi Dress in Black,https://www.chichiclothing.com/products/petite-long-sleeve-cut-out-party-midi-dress-in-black,£44.00,£88.00,(50% OFF),,,,,,,,petite long sleeve cut out party midi dress in black
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/MINTBRIDAL-7HERO-2.jpg?w=913&h=1222,Petite Satin Cami Ruffle Strap Bodycon Dress in Mint,https://www.chichiclothing.com/products/g002098pmt,£51.00,£102.00,(50% OFF),https://www.chichiclothing.com/products/g002098pmt,https://www.chichiclothing.com/products/petite-satin-cami-strap-ruffle-detail-bodycon-dress-in-teal,,,,,,petite satin cami ruffle strap bodycon dress in minthttps://www.chichiclothing.com/products/petite-satin-cami-strap-ruffle-detail-bodycon-dress-in-teal
Chi Chi London,Jumpsuits & Playsuits,Blue,https://img-va.myshopline.com/image/store/1709554475197/1879PBL-78652-Web-2.jpg?w=913&h=1222,Petite Bardot Jacquard Jumpsuit in Blue,https://www.chichiclothing.com/products/petite-bardot-jacquard-jumpsuit-in-blue,£45.00,£90.00,(50% OFF),,,,,,,,petite bardot jacquard jumpsuit in blue
Chi Chi London,Dresses,Cream,https://img-va.myshopline.com/image/store/1709554475197/70968BPIV-4-2.jpg?w=913&h=1222,Petite Bridal Halter Embellished Wedding Dress in Ivory,https://www.chichiclothing.com/products/chi-chi-petite-bridal-tyler-dress,£120.00,£300.00,(60% OFF),,,,,,,,petite bridal halter embellished wedding dress in ivory
Chi Chi London,Dresses,Red,https://img-va.myshopline.com/image/store/1709554475197/53239PBL-25-2.jpg?w=913&h=1222,Petite Sleeveless Floral Embroidered Bodycon Dress in Blue,https://www.chichiclothing.com/products/petite-sleeveless-corset-embroidered-bodycon-dress-in-cream,£60.00,£120.00,(50% OFF),,,,,,,,petite sleeveless floral embroidered bodycon dress in blue
Chi Chi London,Dresses,Red,https://img-va.myshopline.com/image/store/1709554475197/80687BPWH-16947-2.jpg?w=913&h=1222,Petite Sleeveless Textured Wedding Dress with Train in White,https://www.chichiclothing.com/products/petite-sleeveless-textured-bridal-wedding-dress-with-train-in-white,£108.00,£180.00,(40% OFF),,,,,,,,petite sleeveless textured wedding dress with train in white
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/MO0004PBL1-60a80945-212d-41fd-a295-2a91a0bf0cc5-2.jpg?w=913&h=1222,Petite Bardot Premium Lace Peplum Midi Dress in Blue,https://www.chichiclothing.com/products/petite-bardot-premium-lace-peplum-midi-dress-in-blue,£38.00,£95.00,(60% OFF),,,,,,,,petite bardot premium lace peplum midi dress in blue
Chi Chi London,Dresses,Black,https://img-va.myshopline.com/image/store/1709554475197/19-10-23-chi-chi16108-2.jpg?w=913&h=1222,Petite Long Sleeve Ruffle Detail Foil Spot Detail Maxi Dress in Black,https://www.chichiclothing.com/products/petite-long-sleeve-ruffle-detail-foil-spot-detail-maxi-dress-in-black,£34.00,£68.00,(50% OFF),,,,,,,,petite long sleeve ruffle detail foil spot detail maxi dress in black
Chi Chi London,Dresses,Purple,https://img-va.myshopline.com/image/store/1709554475197/KH211PLIL-14-HERO-Web-2.jpg?w=913&h=1222,Petite Ruched Wrap Maxi Dress in Lilac,https://www.chichiclothing.com/products/petite-ruched-wrap-midi-dress-in-lilac,£34.00,£112.00,(69.64% OFF),,,,,,,,petite ruched wrap maxi dress in lilac
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/16308PNB-66502-2.jpg?w=913&h=1222,Petite Sleeveless Floral Print Ruffle Hem Midi Dress in Navy,https://www.chichiclothing.com/products/petite-sleeveless-floral-print-midi-dress-in-navy,£60.00,£100.00,(40% OFF),,,,,,,,petite sleeveless floral print ruffle hem midi dress in navy
Chi Chi London,Dresses,Green,https://img-va.myshopline.com/image/store/1709554475197/71223CH-17323-W-2.jpg?w=913&h=1222,Petite Knot Detail Maxi Dress in Sage,https://www.chichiclothing.com/products/petite-knot-detail-maxi-dress-in-sage,£112.00,,,,,,,,,,petite knot detail maxi dress in sage
Chi Chi London,Dresses,Burgundy,https://img-va.myshopline.com/image/store/1709554475197/KH204PWI-79456-Web-2.jpg?w=913&h=1222,Petite Cut-Out Bow Back Maxi Dress in Wine,https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-wine,£112.00,,,https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-wine,https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-sage,,,,,,petite cut-out bow back maxi dress in winehttps://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-sage
Chi Chi London,Dresses,Burgundy,https://img-va.myshopline.com/image/store/1709554475197/80977BL-79353-WEB-1-2.jpg?w=913&h=1222,Petite Cowl Neck Satin Maxi Dress in Wine,https://www.chichiclothing.com/products/petite-cowl-neck-satin-maxi-dress-in-wine,£104.00,,,,,,,,,,petite cowl neck satin maxi dress in wine
Chi Chi London,Dresses,White,https://img-va.myshopline.com/image/store/1709554475197/80834PWH-16615-2.jpg?w=913&h=1222,Petite Sleeveless Premium Lace Bridal Wedding Dress in White,https://www.chichiclothing.com/products/petite-sleeveless-premium-lace-bridal-wedding-dress-in-white,£250.00,,,,,,,,,,petite sleeveless premium lace bridal wedding dress in white
Chi Chi London,Dresses,Green,https://img-va.myshopline.com/image/store/1709554475197/80977BL-79407-HERO-Web-2.jpg?w=1026&h=1373,Petite Ruched One Shoulder Satin Maxi Dress in Green,https://www.chichiclothing.com/products/petite-ruched-one-shoulder-satin-maxi-dress-in-green,£104.00,,,,,,,,,,petite ruched one shoulder satin maxi dress in green
Chi Chi London,Jumpsuits & Playsuits,Black,https://img-va.myshopline.com/image/store/1709554475197/EM5019BK-7-2.jpg?w=913&h=1222,Petite Bandeau Faux Leather Jumpsuit in Black,https://www.chichiclothing.com/products/petite-bandeau-pu-jumpsuit-in-black,£60.00,,,,,,,,,,petite bandeau faux leather jumpsuit in black
Chi Chi London,Dresses,Purple,https://img-va.myshopline.com/image/store/1709554475197/Bridal-April23-132.jpg?w=913&h=1222,Petite Halter Neck Satin Maxi Dress in Lilac,https://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-lilac,£102.00,,,https://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-lilac,https://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-sage,,,,,,petite halter neck satin maxi dress in lilachttps://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-sage
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/MO0014PI-PETITE-1-7f965105-ef34-4222-afee-0fdbfd32942a.jpg?w=913&h=1222,Petite Bandeau Sweetheart Floral Wrap Detail Dip Hem Dress in Pink,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-pink,£90.00,,,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-pink,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-navy,,,,,,petite bandeau sweetheart floral wrap detail dip hem dress in pinkhttps://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-navy
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/ChiChi-109373.jpeg?w=1600&h=2400,Petite Bandeau Sweetheart Floral Wrap Detail Dip Hem Dress in Navy,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-navy,£95.00,,,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-navy,https://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-pink,,,,,,petite bandeau sweetheart floral wrap detail dip hem dress in navyhttps://www.chichiclothing.com/products/petite-bandeau-sweetheart-floral-wrap-detail-dip-hem-dress-in-pink
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/ChiChi-108987.jpeg?w=1600&h=2400,Petite One Shoulder Split Detail Midi Dress in Blue,https://www.chichiclothing.com/products/one-shoulder-split-detail-midi-dress-in-blue-2,£75.00,,,,,,,,,,petite one shoulder split detail midi dress in blue
Chi Chi London,Jumpsuits & Playsuits,Blue,https://img-va.myshopline.com/image/store/1709554475197/19-10-23-chi-chi15524-2.jpg?w=913&h=1222,Petite Puff Sleeve Jacquard Wide Leg Jumpsuit in Navy,https://www.chichiclothing.com/products/petite-puff-sleeve-jacquard-wide-leg-jumpsuit-in-navy,£90.00,,,,,,,,,,petite puff sleeve jacquard wide leg jumpsuit in navy
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/20296PNB-66063-2.jpg?w=913&h=1222,Petite Floral Print Pleated Midi Skater Dress in Navy,https://www.chichiclothing.com/products/petite-floral-printed-pleated-skirt-midi-dress-in-navy,£27.00,£90.00,(70% OFF),,,,,,,,petite floral print pleated midi skater dress in navy
Chi Chi London,Dresses,Red,https://img-va.myshopline.com/image/store/1709554475197/3022EPBU-66512-1.jpg?w=913&h=1222,Petite Floral Embroidered Ruffle Detail Midi Dress in Pink,https://www.chichiclothing.com/products/petite-embroidered-ruffle-midi-dress-in-blush,£44.00,£110.00,(60% OFF),,,,,,,,petite floral embroidered ruffle detail midi dress in pink
