Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
83,Trousers,River Island,Red,Petite Red Velvet Bootcut Trousers,£35.00,,,https://www.riverisland.com/p/petite-red-velvet-bootcut-trousers-917747,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/917747_main?_a=BATAV5AA0,Petite Red Velvet Bootcut Trousers,,,,
84,Cardigan,River Island,Black,Petite Black Sequin Feather Cuff Cardigan,£45.00,,,https://www.riverisland.com/p/petite-black-sequin-feather-cuff-cardigan-914826,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914826_main?_a=BATAV5AA0,Petite Black Sequin Feather Cuff Cardigan,,,,
85,Knitwear,River Island,Cream,Petite Cream Sequin Overlay High Neck Jumper,£48.00,,,https://www.riverisland.com/p/petite-cream-sequin-overlay-high-neck-jumper-914828,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914828_main?_a=BATAV5AA0,Petite Cream Sequin Overlay High Neck Jumper,,,,
86,Jeans,River Island,Blue,Petite Blue High Waist Wide Leg Pocket Jeans,£50.00,,,https://www.riverisland.com/p/petite-blue-high-waist-wide-leg-pocket-jeans-914571,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914571_main?_a=BATAV5AA0,Petite Blue High Waist Wide Leg Pocket Jeans,https://images.riverisland.com/is/image/RiverIsland/914571_swatch,,https://images.riverisland.com/is/image/RiverIsland/910513_swatch,
87,Trousers,River Island,Cream,Petite Cream Textured Flared Trousers,£35.00,,,https://www.riverisland.com/p/petite-cream-textured-flared-trousers-916822,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916822_main?_a=BATAV5AA0,Petite Cream Textured Flared Trousers,,,,
88,Knitwear,River Island,Pink,Petite Pink Fluffy Jumper,£45.00,,,https://www.riverisland.com/p/petite-pink-fluffy-jumper-914198,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914198_main?_a=BATAV5AA0,Petite Pink Fluffy Jumper,,,,
89,Coats & Jackets,River Island,Beige,Petite Beige Slim Padded Jacket,£69.00,,,https://www.riverisland.com/p/petite-beige-slim-padded-jacket-908884,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/908884_main?_a=BATAV5AA0,Petite Beige Slim Padded Jacket,,,,
90,Trousers,River Island,Black,Petite Black Faux Leather Wide Leg Trousers,£40.00,,,https://www.riverisland.com/p/petite-black-faux-leather-wide-leg-trousers-913730,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913730_main?_a=BATAV5AA0,Petite Black Faux Leather Wide Leg Trousers,,,,
91,Tops,River Island,Black,Petite Black Chiffon Floral Ruffle Blouse,£36.00,,,https://www.riverisland.com/p/petite-black-chiffon-floral-ruffle-blouse-916228,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916228_main?_a=BATAV5AA0,Petite Black Chiffon Floral Ruffle Blouse,,,,
92,Swimwear,River Island,Black,Petite Black Textured Plunged Neck Swimsuit,£45.00,,,https://www.riverisland.com/p/petite-black-textured-plunged-neck-swimsuit-916476,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916476_main?_a=BATAV5AA0,Petite Black Textured Plunged Neck Swimsuit,,,,
93,Trousers,River Island,Black,Petite Black Faux Leather Straight Trousers,£40.00,,,https://www.riverisland.com/p/petite-black-faux-leather-straight-trousers-912465,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912465_main?_a=BATAV5AA0,Petite Black Faux Leather Straight Trousers,,,,
94,Jeans,River Island,Blue,Petite Blue Relaxed Straight Fit Jeans,£42.00,,,https://www.riverisland.com/p/petite-blue-relaxed-straight-fit-jeans-911663,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/911663_main?_a=BATAV5AA0,Petite Blue Relaxed Straight Fit Jeans,https://images.riverisland.com/is/image/RiverIsland/911663_swatch,,https://images.riverisland.com/is/image/RiverIsland/905710_swatch,
95,Leggings Or Jeggings,River Island,Brown,Petite Brown Leopard Ribbed Flare Leggings,£22.00,,,https://www.riverisland.com/p/petite-brown-leopard-ribbed-flare-leggings-914689,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914689_main?_a=BATAV5AA0,Petite Brown Leopard Ribbed Flare Leggings,,,,
96,Jeans,River Island,Black,Petite Black Tummy Hold Flared Jeans,£48.00,,,https://www.riverisland.com/p/petite-black-tummy-hold-flared-jeans-913103,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913103_main?_a=BATAV5AA0,Petite Black Tummy Hold Flared Jeans,,,,
97,Tops,River Island,Cream,Petite Cream Textured Long Sleeve Shirt,£36.00,,,https://www.riverisland.com/p/petite-cream-textured-long-sleeve-shirt-916821,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916821_main?_a=BATAV5AA0,Petite Cream Textured Long Sleeve Shirt,,,,
98,Tops,River Island,Cream,Petite Cream Sort Sleeve Tipped Waistcoat,£45.00,,,https://www.riverisland.com/p/petite-cream-sort-sleeve-tipped-waistcoat-912543,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912543_main?_a=BATAV5AA0,Petite Cream Sort Sleeve Tipped Waistcoat,,,,
99,Jeans,River Island,Blue,Petite Blue Pocket Flared Jeans,£48.00,,,https://www.riverisland.com/p/petite-blue-pocket-flared-jeans-913527,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913527_main?_a=BATAV5AA0,Petite Blue Pocket Flared Jeans,,,,
