Product Link,Main Image,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
https://www.boohoo.com/petite-dogtooth-belted-wool-look-trench/GZZ63287.html?color=105,https://media.boohoo.com/i/boohoo/gzz63287_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Coats & Jackets,BOOHOO,Black,PETITE DOGTOOTH BELTED WOOL LOOK TRENCH,£35.00,£70.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz63287_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-double-breasted-blazer/HZZ12414.html?color=105,https://media.boohoo.com/i/boohoo/hzz12414_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Blazers,BOOHOO,Black,PETITE DOUBLE BREASTED BLAZER,£22.50,£45.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz12414_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-basics-high-waisted-ripped-mom-jeans/GZZ96726.html?color=436,https://media.boohoo.com/i/boohoo/gzz96726_washed%20black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Jeans,BOOHOO,Black,PETITE BASICS HIGH WAISTED RIPPED MOM JEANS,£9.00,£18.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz96726_washed%20black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-disc-sequin-cut-out-mini-dress/HZZ06600.html?color=105,https://media.boohoo.com/i/boohoo/hzz06600_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE DISC SEQUIN CUT OUT MINI DRESS,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz06600_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-tailored-faux-leather-blazer-/GZZ70623.html?color=105,https://media.boohoo.com/i/boohoo/gzz70623_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Blazers,BOOHOO,Black,PETITE TAILORED FAUX LEATHER BLAZER,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz70623_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-basic-cotton-asym-neck-bodycon-dress-/GZZ93590.html?color=105,https://media.boohoo.com/i/boohoo/gzz93590_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE BASIC COTTON ASYM NECK BODYCON DRESS,£7.50,£15.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz93590_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-tassel-sequin-cut-out-jumpsuit/HZZ06571.html?color=105,https://media.boohoo.com/i/boohoo/hzz06571_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Jumpsuits & Playsuits,BOOHOO,Black,PETITE TASSEL SEQUIN CUT OUT JUMPSUIT,£32.00,£65.00,51% OFF,https://media.boohoo.com/i/boohoo/hzz06571_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-borg-diagonal-stripe-slouchy-knitted-jumper/HZZ01441.html?color=105,https://media.boohoo.com/i/boohoo/hzz01441_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Knitwear,BOOHOO,Black,PETITE BORG DIAGONAL STRIPE SLOUCHY KNITTED JUMPER,£14.00,£28.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz01441_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-soft-touch-roll-neck-bodysuit/HZZ15983.html?color=105,https://media.boohoo.com/i/boohoo/hzz15983_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Tops,BOOHOO,Black,PETITE SOFT TOUCH ROLL NECK BODYSUIT,£9.00,£18.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz15983_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-bandeau-mini-dress-boxy-crop-blazer/HZZ06243.html?color=105,https://media.boohoo.com/i/boohoo/hzz06243_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Blazers,BOOHOO,Black,PETITE BANDEAU MINI DRESS & BOXY CROP BLAZER,£30.50,£61.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz06243_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-faux-leather-mini-skirt/HZZ08927.html?color=105,https://media.boohoo.com/i/boohoo/hzz08927_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Skirts,BOOHOO,Black,PETITE FAUX LEATHER MINI SKIRT,£11.00,£22.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz08927_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-brushed-knit-zip-through-cardigan/HZZ07139.html?color=105,https://media.boohoo.com/i/boohoo/hzz07139_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Cardigans,BOOHOO,Black,PETITE BRUSHED KNIT ZIP THROUGH CARDIGAN,£18.50,£37.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz07139_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
