Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
192,Dresses,Dorothy Perkins,Blue,Petite Blue Abstract Print Wrap Midi Dress,£15.75,£35.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-blue-abstract-print-wrap-midi-dress_bqq18886?colour=cobalt,https://mediahub.debenhams.com/bqq18886_cobalt_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Blue Abstract Print Wrap Midi Dress cobalt,,,,
193,Tops,Dorothy Perkins,,Petite Lace Trim Dobby Chiffon Blouse,£20.30,£29.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-lace-trim-dobby-chiffon-blouse_bqq19075?colour=forest,https://mediahub.debenhams.com/bqq19075_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Lace Trim Dobby Chiffon Blouse forest,,,,
194,Dresses,Dorothy Perkins,,Petite Ditsy Floral Ruffle Front Midi Dress,£15.75,£35.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ditsy-floral-ruffle-front-midi-dress_bqq18918?colour=floral,https://mediahub.debenhams.com/bqq18918_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ditsy Floral Ruffle Front Midi Dress floral,,,,
195,Tops,Dorothy Perkins,,Petite Trim Overhead Blouse,£16.80,£28.00,Save 40%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-trim-overhead-blouse_bqq16597?colour=black,https://mediahub.debenhams.com/bqq16597_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Trim Overhead Blouse black,https://mediahub.debenhams.com/bqq16597_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black,https://mediahub.debenhams.com/bqq16597_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
196,Dresses,Dorothy Perkins,,Petite Poplin Tie Waist Midi Dress,£12.00,£39.00,Save 69%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-poplin-tie-waist-midi-dress_bqq17572?colour=pink,https://mediahub.debenhams.com/bqq17572_pink_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Poplin Tie Waist Midi Dress pink,,,,
197,Dresses,Dorothy Perkins,,Petite Leopard Tie Front Mini Dress 3/4 Sleeve,£13.00,£35.00,Save 63%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-leopard-tie-front-mini-dress-3-4-sleeve_bqq16474?colour=leopard,https://mediahub.debenhams.com/bqq16474_leopard_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Leopard Tie Front Mini Dress 3/4 Sleeve leopard,,,,
198,Shorts,Dorothy Perkins,,Petite Stretch Denim Knee Shorts,£10.00,£20.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-stretch-denim-knee-shorts_bqq17076?colour=light%20wash,https://mediahub.debenhams.com/bqq17076_light%20wash_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Stretch Denim Knee Shorts light wash,https://mediahub.debenhams.com/bqq17076_light%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,light wash,https://mediahub.debenhams.com/bqq17076_mid%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,mid wash
199,Dresses,Dorothy Perkins,,Petite Waist Detail Puff Sleeve Mini Dress,£9.00,£29.00,Save 69%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-waist-detail-puff-sleeve-mini-dress_bqq17549?colour=floral,https://mediahub.debenhams.com/bqq17549_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Waist Detail Puff Sleeve Mini Dress floral,,,,
200,Dresses,Dorothy Perkins,,Petite Ivory Ditsy V Neck Shirred Bodice Midi Dress,£12.00,£39.00,Save 69%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ivory-ditsy-v-neck-shirred-bodice-midi-dress_bqq18253?colour=ivory,https://mediahub.debenhams.com/bqq18253_ivory_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ivory Ditsy V Neck Shirred Bodice Midi Dress ivory,,,,
201,Dresses,Dorothy Perkins,,Petite Mono Ditsy Shirred Bodice Mini Dress,£15.95,£29.00,Save 45%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-mono-ditsy-shirred-bodice-mini-dress_bqq17678?colour=mono,https://mediahub.debenhams.com/bqq17678_mono_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Mono Ditsy Shirred Bodice  Mini Dress mono,,,,
202,Dresses,Dorothy Perkins,,Petite Camel Spot V Neck Midi Dress,£15.95,£29.00,Save 45%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-camel-spot-v-neck-midi-dress_bqq11369?colour=camel,https://mediahub.debenhams.com/bqq11369_camel_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Camel Spot V Neck Midi Dress camel,,,,
203,Coats & Jackets,Dorothy Perkins,,Petite Faux Leather Biker Jacket,£38.35,£59.00,Save 35%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-faux-leather-biker-jacket_bqq07399?colour=black,https://mediahub.debenhams.com/bqq07399_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Faux Leather Biker Jacket black,,,,
204,Dresses,Dorothy Perkins,,Petite Ditsy Ruffle Sleeve Empire Midi Dress,£17.50,£35.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ditsy-ruffle-sleeve-empire-midi-dress_bqq17686?colour=floral,https://mediahub.debenhams.com/bqq17686_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ditsy Ruffle Sleeve Empire Midi Dress floral,,,,
205,Shorts,Dorothy Perkins,,Petite Mom Fold Back Shorts,£13.00,£18.00,Save 28%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-mom-fold-back-shorts_bqq17075?colour=indigo,https://mediahub.debenhams.com/bqq17075_indigo_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Mom Fold Back Shorts indigo,https://mediahub.debenhams.com/bqq17075_indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,indigo,https://mediahub.debenhams.com/bqq17075_light%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,light wash
206,Dresses,Dorothy Perkins,Red,Petite Red Tropical V Neck Frill Detail Midi Dress,£12.00,£39.00,Save 69%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-tropical-v-neck-frill-detail-midi-dress_bqq18234?colour=red,https://mediahub.debenhams.com/bqq18234_red_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Red Tropical V Neck Frill Detail Midi Dress red,,,,
207,Dresses,Dorothy Perkins,Pink,Petite Pink Ditsy Flutter Sleeve Tie Back Midi Dress,£12.00,£45.00,Save 73%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-ditsy-flutter-sleeve-tie-back-midi-dress_bqq17580?colour=pink,https://mediahub.debenhams.com/bqq17580_pink_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Pink Ditsy Flutter Sleeve Tie Back Midi Dress pink,,,,
208,Dresses,Dorothy Perkins,,Petite Pastel Ditsy Print Square Neck Cami Midi Dress,£13.00,£29.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pastel-ditsy-print-square-neck-cami-midi-dress_bqq10814?colour=multi,https://mediahub.debenhams.com/bqq10814_multi_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Pastel Ditsy Print Square Neck Cami Midi Dress multi,,,,
209,Dresses,Dorothy Perkins,,Petite Mint Ditsy Scoop Neck Tie Shoulder Midi Dress,£10.00,£35.00,Save 71%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-mint-ditsy-scoop-neck-tie-shoulder-midi-dress_bqq17557?colour=mint,https://mediahub.debenhams.com/bqq17557_mint_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Mint Ditsy Scoop Neck Tie Shoulder Midi Dress mint,,,,
210,Blazers,Dorothy Perkins,,Petite Herringbone Oversized Blazer,£38.35,£59.00,Save 35%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-herringbone-oversized-blazer_bqq17957?colour=black,https://mediahub.debenhams.com/bqq17957_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Herringbone Oversized Blazer black,,,,
211,Jeans,Dorothy Perkins,,Petite Relaxed Mom Jeans,£14.00,£35.00,Save 60%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-relaxed-mom-jeans_bqq15492?colour=black,https://mediahub.debenhams.com/bqq15492_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Relaxed Mom Jeans black,,,,
212,Dresses,Dorothy Perkins,,Petite Knot Shoulder Mini Dress,£13.00,£25.00,Save 48%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-knot-shoulder-mini-dress_bqq11150?colour=black,https://mediahub.debenhams.com/bqq11150_black_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Knot Shoulder Mini Dress black,,,,
213,Trousers,Dorothy Perkins,,Petite Ankle Grazer Trouser,£11.60,£29.00,Save 60%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ankle-grazer-trouser_bqq09034?colour=coral%20pink,https://mediahub.debenhams.com/bqq09034_coral%20pink_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ankle Grazer Trouser coral pink,https://mediahub.debenhams.com/bqq09034_coral%20pink_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,coral pink,https://mediahub.debenhams.com/bqq09034_blush_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,blush
214,Jeans,Dorothy Perkins,,Petite Skinny Ankle Grazer Jean,£15.00,£25.00,Save 40%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-skinny-ankle-grazer-jean_bqq16364?colour=dark%20wash,https://mediahub.debenhams.com/bqq16364_dark%20wash_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Skinny Ankle Grazer Jean dark wash,,,,
215,Jeans,Dorothy Perkins,,Petite High Rise Skinny Jeans,£13.00,£35.00,Save 63%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-high-rise-skinny-jeans_bqq16111?colour=black,https://mediahub.debenhams.com/bqq16111_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite High Rise Skinny Jeans black,https://mediahub.debenhams.com/bqq16111_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black,https://mediahub.debenhams.com/bqq16111_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
216,Dresses,Dorothy Perkins,,Petite Puff Sleeve Wrap Midi Dress,£12.00,£45.00,Save 73%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-puff-sleeve-wrap-midi-dress_bqq17583?colour=pink,https://mediahub.debenhams.com/bqq17583_pink_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Puff Sleeve Wrap Midi Dress pink,,,,
217,Dresses,Dorothy Perkins,Green,Petite Green Animal Ruched Front Puff Sleeve Midi Dress,£28.00,£35.00,Save 20%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-green-animal-ruched-front-puff-sleeve-midi-dress_bqq17542?colour=green,https://mediahub.debenhams.com/bqq17542_green_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Green Animal Ruched Front Puff Sleeve Midi Dress green,,,,
218,Dresses,Dorothy Perkins,,Petite Ditsy Puff Sleeve Mini Dress,£11.00,£39.00,Save 72%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ditsy-puff-sleeve-mini-dress_bqq17584?colour=yellow,https://mediahub.debenhams.com/bqq17584_yellow_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ditsy Puff Sleeve Mini Dress yellow,,,,
219,Dresses,Dorothy Perkins,Red,Petite Red Ditsy Floral Button Front Mini Dress,£15.75,£35.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-ditsy-floral-button-front-mini-dress_bqq19107?colour=navy,https://mediahub.debenhams.com/bqq19107_navy_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Red Ditsy Floral Button Front Mini Dress navy,,,,
220,Dresses,Dorothy Perkins,,Petite Mono Floral Square Neck Mini Dress,£14.50,£29.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-mono-floral-square-neck-mini-dress_bqq18915?colour=mono,https://mediahub.debenhams.com/bqq18915_mono_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Mono Floral Square Neck Mini Dress mono,,,,
221,Dresses,Dorothy Perkins,,Petite Ditsy Floral V Neck Shirred Waist Midi Dress,£19.50,£39.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ditsy-floral-v-neck-shirred-waist-midi-dress_bqq19091?colour=floral,https://mediahub.debenhams.com/bqq19091_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ditsy Floral V Neck Shirred Waist Midi Dress floral,,,,
222,Dresses,Dorothy Perkins,,Petite Ruched Front Long Sleeve Midi Dress,£24.50,£35.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ruched-front-long-sleeve-midi-dress_bqq19690?colour=khaki,https://mediahub.debenhams.com/bqq19690_khaki_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ruched Front Long Sleeve Midi Dress khaki,,,,
223,Tops,Dorothy Perkins,Pink,Petite Pink Rose Chiffon Ruffle Sleeve Shirred Hem Blouse,£17.50,£35.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-rose-chiffon-ruffle-sleeve-shirred-hem-blouse_bqq19807?colour=floral,https://mediahub.debenhams.com/bqq19807_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Pink Rose Chiffon Ruffle Sleeve Shirred Hem Blouse floral,,,,
