Brand,Product Link,Main Image,Current Price,Category,Product Name,Colour,Swatch Image 1,Swatch Image 2,Discount,Original Price,Swatch Image 3
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-linen-blend-waistcoat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/03b546f2-be1f-43_IMG_9077.jpg,£10,Tops,PixieGirl Black Linen Waistcoat,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/ca9438b7-5f7b-46_224054_X.jpg,,(50% OFF),£19.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-broderie-anglaise-jersey-bomber-jacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/403b8321-d2b0-40_224636_A.jpg,£20,Coats & Jackets,PixieGirl Black Broderie Anglaise Jersey Bomber Jacket,Black,,,(33% OFF),£29.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-scuba-belted-midi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0f2536cf-73b6-4c_223958_A.jpg,£26.99,Dresses,PixieGirl Black Scuba Belted Midi Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-rib-button-smock-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/795bbce9-5f4f-4c_224664_A.jpg,£17.99,Tops,PixieGirl Black Ribbed Button Detail Smock Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/ff68fae4-574b-48_224665_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/d3918213-90b0-48_225424_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/animal-lace-trim-midi-slip-dress-224799-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c25c274d-cebb-49_224799_A.jpg,£24.99,Dresses,PixieGirl Black Midi Slip Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/79f64d0d-fe99-4d_224753_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/blk-paisley-ss-smock-midi-drs-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/fa948399-8ca9-42_224701_A.jpg,£26.99,Dresses,PixieGirl Black Paisley Print Midi Smock Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/black-seam-detail-cropped-hoodie-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/92646d76-8f2a-4d_224892_A.jpg,£19.99,Hoodies,Black Seam Detail Cropped Hoodie,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/d351df65-2790-45_224900_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/aad19095-0873-49_224894_X.jpg,,,https://cdn.pixiegirl.com/Images/ProductImages/Small/2ba10aec-f682-48_224896_X.jpg
Pixie Girl,https://www.pixiegirl.com/dk-grey-spot-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4932ad6a-dc34-43_224611_A.jpg,£24.99,Skirts,PixieGirl Abstract Spot Print Maxi Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/black-ribbed-seamless-leggings-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0af888d4-cdd8-4a_224875_A.jpg,£14.99,Leggings & Jeggings,PixieGirl Black Ribbed Seamless Leggings,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/8b06014a-69ae-4b_224876_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/688e3c4e-f9ae-45_224877_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/black-ribbed-seamless-bodysuit-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/698c3e56-aa59-4a_224878_A.jpg,£10,Tops,Black Ribbed Seamless Bodysuit,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/1a74ad62-bdfa-49_224879_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/43ea0624-9926-48_224880_X.jpg,(33% OFF),£14.99,
Pixie Girl,https://www.pixiegirl.com/black-do-what-makes-you-happy-slogan-print-oversized-sweatshirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a0ecf1bb-0812-49_224885_A.jpg,£22.99,Tops,Black 'Do What Makes You Happy' Slogan Print Oversized Sweatshirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/ec8bfa82-9a29-4f_224887_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/cropped-gillet-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/69479faf-fc5c-45_224905_A.jpg,£25,Coats & Jackets,Black Hooded Cropped Gilet,Black,,,(24% OFF),£32.99,
Pixie Girl,https://www.pixiegirl.com/black-crochet-tassle-vest-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ee522b52-3fc3-4e_225065_224162_L4.jpg,£15,Tops,PixieGirl Black Crochet Tassel Vest Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/6e448473-480f-44_224161_X.jpg,,(35% OFF),£22.99,
Pixie Girl,https://www.pixiegirl.com/black-ss-flower-crochet-jumper-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/08c10df2-0715-4a_224170_A.jpg,£22.99,Tops,PixieGirl Black Flower Crochet Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/e5f7f1db-3951-49_224169_X.jpg,,,,
