Position,Category,Brand,Colour,Product Name,Main Image,Product Link,Discount,Original Price,Current Price
38,Jumpsuits & Playsuits,Papaya,Black,Papaya Petite Black Jumpsuit,https://ml.thcdn.com/productimg/960/960/15268213-1855183593139316.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-jumpsuit/15268213.html,SALE,£22.00,£11.00
39,Skirts,Papaya,White,Papaya Petite White Spot Print Midi Skirt,https://ml.thcdn.com/productimg/960/960/15263823-1725170618146963.jpg,https://www.matalan.co.uk/clothing/papaya-petite-white-spot-print-midi-skirt/15263823.html,Red Friday Deal,£15.00,£7.50
40,Jeans,Papaya,Black,Papaya Petite Black Ripped Mom Jeans,https://ml.thcdn.com/productimg/960/960/15270765-1635192681411412.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-ripped-mom-jeans/15270765.html,,,£21.00
41,Dresses,Papaya,Pink,Papaya Petite Pink Floral Midi Dress,https://ml.thcdn.com/productimg/960/960/15268229-1045185454476149.jpg,https://www.matalan.co.uk/clothing/papaya-petite-pink-floral-midi-dress/15268229.html,SALE,£26.00,£18.00
42,Dresses,Papaya,Blue,Papaya Petite Blue Floral Viscose Mini Dress,https://ml.thcdn.com/productimg/960/960/15268285-2065170614040524.jpg,https://www.matalan.co.uk/clothing/papaya-petite-blue-floral-viscose-mini-dress/15268285.html,Red Friday Deal,£15.00,£7.50
43,Coats & Jackets,Papaya,Cream,Papaya Petite Cream Oversized Borg Tailored Coat,https://ml.thcdn.com/productimg/960/960/15324653-5125191151588691.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-oversized-borg-tailored-coat/15324653.html,Red Friday Deal – Limited Time Only,£48.00,£38.00
44,Tops,Papaya,Gray,Papaya Petite Grey Ribbed Open Collar Vest,https://ml.thcdn.com/productimg/960/960/15265966-1155188778011344.jpg,https://www.matalan.co.uk/clothing/papaya-petite-grey-ribbed-open-collar-vest/15265966.html,20% Off - Matalan Me Member Exclusive,,£15.00
45,Tops,Papaya,White,Papaya Petite White Floral Ruffled Sides Blouse Top,https://ml.thcdn.com/productimg/960/960/15050786-1445156609534841.jpg,https://www.matalan.co.uk/clothing/papaya-petite-white-floral-ruffled-sides-blouse-top/15050786.html,SALE,£17.00,£5.00
46,Tops,Papaya,Cream,Papaya Petite Cream Check Shirt,https://ml.thcdn.com/productimg/960/960/15337217-1305189275678968.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-check-shirt/15337217.html,,,£17.00
47,Tops,Papaya,White,Papaya Petite White Cutwork Sleeve T-Shirt,https://ml.thcdn.com/productimg/960/960/15264862-2115170631754072.jpg,https://www.matalan.co.uk/clothing/papaya-petite-white-cutwork-sleeve-t-shirt/15264862.html,Red Friday Deal,£12.50,£6.00
48,Tops,Papaya,Blue,Papaya Petite Blue Sheered Co Ord Blouse Top,https://ml.thcdn.com/productimg/960/960/15055664-6385164957955487.jpg,https://www.matalan.co.uk/clothing/papaya-petite-blue-sheered-co-ord-blouse-top/15055664.html,SALE,£15.00,£4.50
49,Coats & Jackets,Papaya,Black,Black Papaya Petite Aviator Jacket,https://ml.thcdn.com/productimg/960/960/15336618-2105194802291424.jpg,https://www.matalan.co.uk/clothing/black-papaya-petite-aviator-jacket./15336618.html,,,£45.00
50,Tops,Papaya,Navy,Papaya Petite Navy Paisley Pocket Detail Box Top,https://ml.thcdn.com/productimg/960/960/15267803-4845167586367420.jpg,https://www.matalan.co.uk/clothing/papaya-petite-navy-paisley-pocket-detail-box-top/15267803.html,SALE,£12.50,£6.50
