Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3
Dorothy Perkins,Trousers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pull-on-wide-leg-trouser_bqq15744?colour=black,https://mediahub.debenhams.com/bqq15744_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pull On Wide Leg Trouser,£14.50,£29.00,https://mediahub.debenhams.com/bqq15744_navy_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq15744_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Knitwear,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-crew-neck-button-cuff-jumper_bqq17490?colour=black,https://mediahub.debenhams.com/bqq17490_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Crew Neck Button Cuff Jumper,£14.40,£24.00,https://mediahub.debenhams.com/bqq17490_camel_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17490_pink_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17490_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-gold-trim-maxi-coat_bqq17956?colour=black,https://mediahub.dorothyperkins.com/bqq17956_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Gold Trim Maxi Coat,£51.00,£85.00,,,
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-longline-belted-coat_bqq11638?colour=black,https://mediahub.debenhams.com/bqq11638_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Longline Belted Coat,£72.00,£90.00,https://mediahub.debenhams.com/bqq11638_pink_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq11638_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-high-rise-button-detail-patch-pocket-flare-jeans_bqq16638?colour=black,https://mediahub.debenhams.com/bqq16638_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite High Rise Button Detail Patch Pocket Flare Jeans,£23.40,£39.00,https://mediahub.debenhams.com/bqq16638_dark%20indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq16638_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-spot-twist-front-long-sleeve-top_bqq19251?colour=black,https://mediahub.dorothyperkins.com/bqq19251_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pink Spot Twist Front Long Sleeve Top,£8.80,£22.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-ditsy-shirred-hem-top_bqq19971?colour=black,https://mediahub.dorothyperkins.com/bqq19971_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Red Ditsy Shirred Hem Top,£13.75,£25.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-spot-tiered-hem-mini-dress_bqq13051?colour=black,https://mediahub.dorothyperkins.com/bqq13051_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Black Spot Tiered Hem Mini Dress,£31.20,£39.00,,,
Dorothy Perkins,Blazers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-lace-single-breasted-blazer_bqq19900?colour=black,https://mediahub.dorothyperkins.com/bqq19900_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Lace Single Breasted Blazer,£23.60,£59.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-spot-scoop-neck-shirt-dress_bqq19052?colour=black,https://mediahub.dorothyperkins.com/bqq19052_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pink Spot Scoop Neck Shirt Dress,£12.60,£45.00,,,
Dorothy Perkins,Trousers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-satin-tapered-trouser_bqq19904?colour=black,https://mediahub.debenhams.com/bqq19904_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Tapered Trouser,£11.70,£39.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-floral-shirred-waist-long-sleeve-midi-dress_bqq19323?colour=black,https://mediahub.dorothyperkins.com/bqq19323_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Floral Shirred Waist Long Sleeve Midi Dress,£12.25,£35.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-spot-lace-trim-empire-top_bqq19253?colour=black,https://mediahub.dorothyperkins.com/bqq19253_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Black Spot Lace Trim Empire Top,£12.10,£22.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-khaki-spot-frill-shoulder-midi-dress_bqq19784?colour=black,https://mediahub.dorothyperkins.com/bqq19784_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Khaki Spot Frill Shoulder Midi Dress,£15.75,£35.00,,,
Dorothy Perkins,Blazers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-ruched-sleeve-blazer_aqq16551?colour=black,https://mediahub.dorothyperkins.com/aqq16551_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Black Ruched Sleeve Blazer,£31.50,£45.00,,,
