Brand,Category,Colour,Product Link,Main Image,Product Name,Colour,Current Price,Original Price
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/treggings-dark-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_GREY_TREGGING_241022_58506_710x.jpg?v=1730799399,TREGGINGS,Grey Marl,£17.50,£25
Lovall,Leggings & Jeggings,"Burgundy, Multicolour",https://lovall.com/products/everyday-high-waisted-leggings-burgundy-animal-print,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_Burgundy_Print_241022_38737_710x.jpg?v=1730736393,EVERYDAY HIGH WAISTED LEGGINGS,Burgundy Animal Print,£28,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/winter-everyday-high-waisted-leggings-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_NAVY_GRACE_4775_710x.jpg?v=1706795746,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Navy,£32,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/extreme-fleece-lined-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_43_12582_8ea0a654-660e-4f67-95c2-0b20293d964e_710x.jpg?v=1726826148,EXTREME FLEECE LINED LEGGINGS,Vintage Navy,£32.40,£36
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/extreme-fleece-lined-leggings-dark-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EXTREME_FLEECE_BLACK_GRACE_5029_710x.jpg?v=1698852688,EXTREME FLEECE LINED LEGGINGS,Dark Grey Marl,£32.40,£36
Lovall,Trousers,Black,https://lovall.com/products/leather-look-trousers-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/082_LEATHER_TROUSERS_BLACK_S8_007_710x.jpg?v=1683022606,LEATHER LOOK TROUSERS,Black,£7.50,£30
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/revitalise-high-waisted-leggings-sky-grey-tie-dye,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_14_1182_710x.jpg?v=1699378559,REVITALISE HIGH WAISTED LEGGINGS,Sky Grey Tie Dye,£22.50,£45
Lovall,Trousers,Black,https://lovall.com/products/cigarette-trouser-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/055_CIGARETTE_TROUSER_BLACK_016_90fcb701-7e6a-46e6-b9d5-4d8b73926972_710x.jpg?v=1687338320,CIGARETTE TROUSER,Black,£27,£36
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/energise-high-waisted-gym-leggings-thunder-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/products/W_ThunderBlue_EnergiseFullLengthSportsLeggings_1_710x.jpg?v=1654874337,ENERGISE HIGH WAISTED GYM LEGGINGS,Thunder Blue,£18,£36
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/winter-everyday-high-waisted-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_VINTAGENAVY_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1696940224,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Vintage Navy,£32,
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/winter-everyday-high-waisted-leggings-dark-grey,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_DARK_GREY_MARG_3934_710x.jpg?v=1706795330,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Dark Grey,£32,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/winter-everyday-high-waisted-leggings-stone,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_STONE_GRACE_3149_710x.jpg?v=1706795814,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Stone,£32,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/247-revitalise-high-waisted-leggings-clay,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_17_2369_0ee8a5d5-7dcd-4a71-9b6b-dedb18592f61_710x.jpg?v=1718696772,24/7 REVITALISE HIGH WAISTED LEGGINGS,Clay,£33.75,£45
Lovall,Nightwear & Loungewear,Black,https://lovall.com/products/recharge-high-waisted-joggers-midnight-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RECHARGE_JOGGER_BLACK_241022_40519_710x.jpg?v=1730799639,RECHARGE HIGH WAISTED JOGGERS,Midnight Black,£23.10,£33
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/everyday-high-waisted-leggings-black-animal-print,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BlackAnimalPrint_241022_38553_710x.jpg?v=1730735746,EVERYDAY HIGH WAISTED LEGGINGS,Black Animal Print,£28,
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/247-revitalise-high-waisted-leggings-deep-olive,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_1_40109_562b4ea4-7d9a-42a1-b815-5c336752e334_710x.jpg?v=1718697335,24/7 REVITALISE HIGH WAISTED LEGGINGS,Deep Olive,£45,
Lovall,Leggings & Jeggings,Burgundy,https://lovall.com/products/focus-high-waisted-sports-leggings-mulberry-plum,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_6_0784_710x.jpg?v=1699436069,FOCUS HIGH WAISTED SPORTS LEGGINGS,Mulberry Plum,£20,£40
Lovall,Leggings & Jeggings,White,https://lovall.com/products/ultimate-jeggings-white,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/08_NEW_JEGGING_WHITE_039_f3d2302a-a59b-4a85-8705-ca96099937db_710x.jpg?v=1713537790,ULTIMATE JEGGINGS,White,£27,£36
Lovall,Nightwear & Loungewear,Black,https://lovall.com/products/soft-touch-wide-leg-lounge-set-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_41_12285_710x.jpg?v=1727167828,SOFT TOUCH WIDE LEG LOUNGE SET,Black,£52,
Lovall,Jeans,White,https://lovall.com/products/lift-shape-jeans-white,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/015_LIFT_AND_SHAPE_JEAN_WHITE_013_1_710x.jpg?v=1687340418,LIFT & SHAPE JEANS,White,£45,
Lovall,Nightwear & Loungewear,Black,https://lovall.com/products/luxe-lounge-jogger-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_35_11701_710x.jpg?v=1727166148,LUXE LOUNGE JOGGER,Black,£35,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/ultimate-jeggings-light-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/042_NEW_JEGGING_BLEACH_LIGHT_033_abc2d2f7-1028-4002-a0c2-449739530c8f_710x.jpg?v=1683903744,ULTIMATE JEGGINGS,Light Blue,£36,
Lovall,Leggings & Jeggings,White,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-white,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_10_3179_710x.jpg?v=1712584636,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,White,£28,
Lovall,Nightwear & Loungewear,Blue,https://lovall.com/products/soft-touch-pyjama-set-navy-check,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/REDCHECK_710x.jpg?v=1697787801,SOFT TOUCH PYJAMA SET,Navy Check,£18,£36
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-olive,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_KHAKI_GRACE_2700_85a4bce4-1630-4758-aba3-d6cb48969822_710x.jpg?v=1730129748,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Deep Olive,£32,
Lovall,Leggings & Jeggings,Brown,https://lovall.com/products/247-revitalise-flare-leggings-black-coffee,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_9_1083_f50b242c-560a-4187-ac5f-a1a39c8d108b_710x.jpg?v=1718635675,24/7 REVITALISE FLARE LEGGINGS,Black Coffee,£48,
Lovall,Leggings & Jeggings,Brown,https://lovall.com/products/247-revitalise-high-waisted-leggings-black-coffee,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_10_1250_b21080b6-b38c-41f2-a927-5caa4a08a4fe_710x.jpg?v=1718635738,24/7 REVITALISE HIGH WAISTED LEGGINGS,Black Coffee,£45,
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/all-szn-organic-cuffed-jogger-light-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_7_6840_710x.jpg?v=1727260620,ALL SZN ORGANIC CUFFED JOGGER,Light Grey Marl,£45,
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/soft-touch-wide-leg-lounge-set-grey,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_37_11857_710x.jpg?v=1727168188,SOFT TOUCH WIDE LEG LOUNGE SET,Grey,£52,
Lovall,Leggings & Jeggings,Burgundy,https://lovall.com/products/revitalise-high-waisted-leggings-dark-cherry-tie-dye,https://cdn.shopify.com/s/files/1/0014/0306/0312/products/W_RedCherry_F-L_RevitaliseTieDie_1_710x.jpg?v=1665668352,REVITALISE HIGH WAISTED LEGGINGS,Dark Cherry Tie Dye,£33.75,£45
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/jeggings-grey,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/051_NEW_JEGGING_GREY_009_710x.jpg?v=1684157227,ULTIMATE JEGGINGS,Grey,£36,
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/247-revitalise-flare-leggings-clay,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_18_2526_8a3b961a-a466-450e-9fb3-c572d63861c9_710x.jpg?v=1718697040,24/7 REVITALISE FLARE LEGGINGS,Clay,£48,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/ultimate-soft-touch-leggings-vanilla-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_35_7172_710x.jpg?v=1712589770,ULTIMATE SOFT-TOUCH HIGH WAISTED LEGGINGS,Vanilla Marl,£28,£40
Lovall,Nightwear & Loungewear,Cream,https://lovall.com/products/all-szn-organic-cuffed-jogger-ecru,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_13_8086_710x.jpg?v=1727259490,ALL SZN ORGANIC CUFFED JOGGER,Ecru,£45,
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/all-szn-organic-cuffed-jogger-shadow,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_17_8858_710x.jpg?v=1727260874,ALL SZN ORGANIC CUFFED JOGGER,Shadow,£45,
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-forest,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_FOREST_MARG_3293_710x.jpg?v=1696323931,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Deep Forest,£32,
Lovall,Jeans,Blue,https://lovall.com/products/lift-shape-jeans-dark-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/03_LIFT_AND_SHAPE_JEAN_DARKBLUE_141_710x.jpg?v=1687339208,LIFT & SHAPE JEANS,Dark Blue,£45,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/winter-flare-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_14_8410_710x.jpg?v=1727172023,WINTER FLARE LEGGINGS,Vintage Navy,£34,
Lovall,Nightwear & Loungewear,"Khaki, Green",https://lovall.com/products/soft-touch-wide-leg-lounge-set-sage-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_39_12145_710x.jpg?v=1727167912,SOFT TOUCH WIDE LEG LOUNGE SET,Sage Green,£52,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-natural-beige,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_6_2519_710x.jpg?v=1712746792,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Natural Beige,£28,
Lovall,Leggings & Jeggings,Purple,https://lovall.com/products/winter-everyday-high-waisted-leggings-midnight-plum,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_PURPLE_MARG_3651_710x.jpg?v=1696324196,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Midnight Plum,£32,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-steel-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_11_3298_710x.jpg?v=1712584991,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Steel Blue,£28,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/empower-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_8_1157_710x.jpg?v=1704273067,EMPOWER LEGGINGS,Vintage Navy,£40.50,£45
Lovall,Nightwear & Loungewear,"Khaki, Green",https://lovall.com/products/all-szn-organic-wide-leg-jogger-slate-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_25_10079_9ffcbf62-1203-4487-8cc3-33fca371fc30_710x.jpg?v=1727261951,ALL SZN ORGANIC WIDE LEG JOGGER,Slate Green,£45,
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/brushed-cotton-pyjama-set-grey-stripe,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/GREYSTRIPE_710x.jpg?v=1697787729,BRUSHED COTTON PYJAMA SET,Light Grey,£20.40,£34
Lovall,Nightwear & Loungewear,Brown,https://lovall.com/products/all-szn-organic-cuffed-jogger-black-coffee,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_10_7635_710x.jpg?v=1727258467,ALL SZN ORGANIC CUFFED JOGGER,Black Coffee,£45,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/empower-flare-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_10_DANI_0201_710x.jpg?v=1704272177,EMPOWER FLARE LEGGINGS,Vintage Navy,£40.50,£45
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/247-revitalise-flare-leggings-deep-olive,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_4_0296_710x.jpg?v=1718697708,24/7 REVITALISE FLARE LEGGINGS,Deep Olive,£48,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-vintage-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_12_3417_710x.jpg?v=1712304845,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Vintage Navy,£28,
Lovall,Leggings & Jeggings,Brown,https://lovall.com/products/ribbed-leggings-cappuccino,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RIBBED_CAMEL_MARG_2840_710x.jpg?v=1700126203,RIBBED LEGGINGS,Cappuccino,£28.50,£38
Lovall,Leggings & Jeggings,Green,https://lovall.com/products/jeggings-khaki-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/035_NEW_JEGGING_KHAKI_001_efc85737-8521-4c14-a977-c02855b45a84_710x.jpg?v=1687439890,ULTIMATE JEGGINGS,Khaki Green,£36,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/ribbed-leggings-stone,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_31_11031_710x.jpg?v=1726838544,RIBBED LEGGINGS,Stone,£30.40,£38
Lovall,Nightwear & Loungewear,Cream,https://lovall.com/products/everyday-comfy-joggers-oatmeal-beige,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_141_1285_710x.jpg?v=1699379735,EVERYDAY COMFY JOGGERS,Oatmeal Beige,£24,£32
