Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
Oasis,Dresses,Green,https://www.warehousefashion.com/product/oasis-petite-strappy-lace-midaxi-dress_baa04020?colour=green,https://mediahub.debenhams.com/baa04020_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Strappy Lace Midaxi Dress,£35.00,£89.00,,,,
Dorothy Perkins,Trousers,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-velvet-trouser_bqq19901?colour=dark%20green,https://mediahub.debenhams.com/bqq19901_dark%20green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Velvet Trouser,£33.25,£35.00,,,,
Wallis,Tops,Green,https://www.warehousefashion.com/product/wallis-petite-v-neck-overhead-shirt_byy11006?colour=sage,https://mediahub.debenhams.com/byy11006_sage_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite V Neck Overhead Shirt,£13.00,£35.00,,,,
Dorothy Perkins,Skirts,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-velvet-sequin-mini-skirt_bqq19202?colour=green,https://mediahub.debenhams.com/bqq19202_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Velvet Sequin Mini Skirt,£27.55,£29.00,,,,
Oasis,Dresses,Green,https://www.warehousefashion.com/product/oasis-petite-twist-front-angel-sleeve-maxi-bridesmaids-dress_baa07688?colour=emerald,https://mediahub.debenhams.com/baa07688_emerald_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Twist Front Angel Sleeve Maxi Bridesmaids Dress,£39.00,£79.00,,,,
Dorothy Perkins,Coats & Jackets,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-funnel-neck-coat_bqq17184?colour=forest,https://mediahub.debenhams.com/bqq17184_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Funnel Neck Coat,£80.75,£85.00,,,,
Pixie Girl,Leggings & Jeggings,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-leather-leggings_p-86a49890-eb37-4434-8227-d4645d891650?colour=Green,https://mediahub.debenhams.com/m5063110297949_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Leather Leggings,£12.75,£24.99,,,,
Oasis,Dresses,Gray,https://www.warehousefashion.com/product/oasis-petite-occasion-plisse-pleated-midi-dress_baa10663?colour=silver,https://mediahub.debenhams.com/baa10663_silver_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Occasion Plisse Pleated Midi Dress,£47.20,£59.00,,,,
Dorothy Perkins,Dresses,Gray,https://www.warehousefashion.com/product/dorothy-perkins-petite-velvet-sequin-midi-dress_bqq07577?colour=bronze,https://mediahub.debenhams.com/bqq07577_bronze_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Velvet Sequin Midi Dress,£45.50,£65.00,https://mediahub.debenhams.com/bqq07577_bronze_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq07577_silver_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Dorothy Perkins,Dresses,Gray,https://www.warehousefashion.com/product/dorothy-perkins-petite-lace-trim-sequin-mini-dress_bqq19233?colour=silver,https://mediahub.debenhams.com/bqq19233_silver_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Lace Trim Sequin Mini Dress,£42.75,£45.00,https://mediahub.debenhams.com/bqq19233_silver_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq19233_blue_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Trousers,Gray,https://www.warehousefashion.com/product/wallis-petite-sequin-wide-leg-trousers_byy13614?colour=silver,https://mediahub.debenhams.com/byy13614_silver_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Sequin Wide Leg Trousers,£47.00,£59.00,,,,
