Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3
49,Skirts,,Black,PixieGirl Black Faux Leather Mini Skirt,https://www.pixiegirl.com/pixiegirl-blue-black-colour-block-motor-sport-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4ead394c-9e70-41_225116_47.jpg,£29.99,,,,,
50,Skirts,,Gray,PixieGirl Grey Acid Wash Pleated Midi Skirt,https://www.pixiegirl.com/pixiegirl-grey-acid-wash-pleated-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f5e55d22-27f2-4f_225218%20__27.jpg,£34.99,,,,,
51,Skirts,,Brown,PixieGirl Brown Acid Wash Midi Skirt,https://www.pixiegirl.com/pixiegirl-brown-acid-wash-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1f9637b7-87db-48_225215%20__16.jpg,£29.99,,,,,
52,Skirts,,Black,PixieGirl Black Faux Leather Zip Front Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-faux-leather-zip-front-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8f7ea7af-fc7a-45_225270_A.jpg,£29.99,,,,,
53,Skirts,,Black,PixieGirl Black Faux Leather Side Split Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-faux-leather-side-split-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/37b9f54e-23a6-44_225131_1.jpg,£29.99,,,,,
54,Skirts,,Black,PixieGirl Black Blurred Check Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-blurred-check-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0ddd72a8-0bef-46_225268_A.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg
55,Skirts,,Black,PixieGirl Black Lace Fishtail Maxi Skirt,https://www.pixiegirl.com/lace-fishtail-skirt-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b1ef03ad-da46-4f_IMG_7454.jpg,£35,,,,,
56,Skirts,,Blue,PixieGirl Dark Blue Pocket Patch Denim Skirt,https://www.pixiegirl.com/pixiegirl-dark-blue-pocket-patch-denim-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfe4061e-97cc-45_225336_A.jpg,£29.99,,,,,
57,Skirts,,Cream,PixieGirl Beige Brown Leopard Print Rose Mesh Skirt,https://www.pixiegirl.com/pixiegirl-beige-brown-leopard-print-rose-mesh-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d61f3b45-9e15-49_225647_A.jpg,£24.99,,,,,
58,Skirts,,Black,PixieGirl Black Tie Bow Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-tie-bow-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7632252f-b1ce-4b_225762_A.jpg,£26.99,,,,,
