Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount
29,Dresses,Phase Eight,Blue,Petite Kindra Teal Midi Dress,https://www.phase-eight.com/product/petite-kindra-teal-midi-dress-222349402.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222349402&pos=28,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222349402/222349402-01-petite-kindra-teal-midi-dress?_i=AG",£111.20,£139,20% Off Applied
30,Dresses,Phase Eight,Black,Petite Jordine Floral Print Midaxi Dress,https://www.phase-eight.com/product/petite-jordine-floral-print-midaxi-dress-222443000.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222443000&pos=29,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222443000/222443000-01-petite-jordine-floral-print-midaxi-dress?_i=AG",£127.20,£159,20% Off Applied
31,Skirts,Phase Eight,Black,Petite Elmina Geo Pleated Midi Skirt,https://www.phase-eight.com/product/petite-elmina-geo-pleated-midi-skirt-801376050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=801376050&pos=30,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/801376050/801376050-01-petite-elmina-geo-pleated-midi-skirt?_i=AG",£79.20,£99,20% Off Applied
32,Dresses,Phase Eight,Black,Petite Otto One Shoulder Maxi Dress,https://www.phase-eight.com/product/petite-otto-one-shoulder-maxi-dress-222557050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222557050&pos=31,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222557050/222557050-01-petite-otto-one-shoulder-maxi-dress?_i=AG",£151.20,£189,20% Off Applied
33,Dresses,Phase Eight,Black,Petite Aniya Sequin Long Sleeve Dress,https://www.phase-eight.com/product/petite-aniya-sequin-long-sleeve-dress-222477492.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222477492&pos=32,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222477492/222477492-01-petite-aniya-sequin-long-sleeve-dress?_i=AG",£159.20,£199,20% Off Applied
34,Dresses,Phase Eight,Black,Petite Sandra Floral Maxi Dress,https://www.phase-eight.com/product/petite-sandra-floral-maxi-dress-222246880.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222246880&pos=33,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222246880/222246880-01-petite-sandra-floral-maxi-dress?_i=AG",£119,£139,
35,Trousers,Phase Eight,Green,Petite Arabella Pleat Wide Leg Trousers,https://www.phase-eight.com/product/petite-arabella-pleat-wide-leg-trousers-101671693.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101671693&pos=34,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101671693/101671693-01-petite-arabella-pleat-wide-leg-trousers?_i=AG",£71.20,£89,20% Off Applied
36,Jumpsuits & Playsuits,Phase Eight,Black,Petite Alessandra Black Sequin Jumpsuit,https://www.phase-eight.com/product/petite-alessandra-black-sequin-jumpsuit-221971050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=221971050&pos=35,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/221971050/221971050-01-petite-alessandra-black-sequin-jumpsuit?_i=AG",£127.20,£159,20% Off Applied
37,Jumpsuits & Playsuits,Phase Eight,Blue,Petite Kallie Frill Jumpsuit,https://www.phase-eight.com/product/petite-kallie-frill-jumpsuit-222165351.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222165351&pos=36,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222165351/222165351-01-petite-kallie-frill-jumpsuit?_i=AG",£111.20,£139,20% Off Applied
38,Dresses,Phase Eight,Black,Petite Cindy Black Sequin Midi Dress,https://www.phase-eight.com/product/petite-cindy-black-sequin-midi-dress-221928050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=221928050&pos=37,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/221928050/221928050-01-petite-cindy-black-sequin-midi-dress?_i=AG",£103.20,£129,20% Off Applied
