Position,Category,Brand,Colour,Product Name,Original Price,Current Price,Discount,Product Link,Main Image,Swatch Image 1,Swatch Image 2
74,Tops,Boden,Rainbow Stripe,Sienna Silk Shirt,,£140.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/sienna-silk-shirt-rainbow-stripe/sty-t1672-mul?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_t1672_mul_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1672_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1672_nvy_s.jpg
75,Dresses,Boden,"Navy, Foliage Bud",High Neck Tiered Jersey Dress,,£98.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/high-neck-tiered-jersey-dress-navy-foliage-bud/sty-d1085-nvy?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1085_nvy_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1085_grn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1085_nvy_s.jpg
76,Dresses,Boden,"Multi, Paisley Pome",Kate Satin Shirt Dress,,£145.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/kate-satin-shirt-dress-multi-paisley-pome/sty-d1061-mix?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1061_mix_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1061_bue_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1061_mix_s.jpg
77,Jeans,Boden,Blue Ribbon,5 Pocket Cord Wide Jeans,,£95.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/5-pocket-cord-wide-jeans-blue-ribbon/sty-r0642-blu?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0642_blu_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0642_blu_s_v1.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0642_nav_s.jpg
78,Skirts,Boden,Cabernet,Viv Velvet Tiered Maxi Skirt,,£120.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/viv-velvet-tiered-maxi-skirt-cabernet/sty-r0671-drd?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0671_drd_w01_v1.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0671_drd_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0671_drd_s.jpg
79,Skirts,Boden,Glade,Viv Velvet Tiered Maxi Skirt,,£120.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/viv-velvet-tiered-maxi-skirt-glade/sty-r0671-grn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0671_grn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0671_drd_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0671_grn_s.jpg
80,Dresses,Boden,"Glade, Abstract Dot",Hotched Ponte Dress,,£130.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/hotched-ponte-dress-glade-abstract-dot/sty-d1090-grn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1090_grn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wxms_d1090_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1090_grn_s.jpg
81,Dresses,Boden,"Winter Moss, Celestial",Jasmine Satin Midi Dress,,£135.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/jasmine-satin-midi-dress-winter-moss-celestial/sty-d1021-khk?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1021_khk_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1021_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1021_khk_s.jpg
82,Dresses,Boden,"Rich Emerald, Ornate Bud",Pippa Satin Maxi Dress,,£165.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/pippa-satin-maxi-dress-rich-emerald-ornate-bud/sty-d1031-grn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1031_grn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1031_grn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1031_grn_s.jpg
83,Dresses,Boden,"Post Box Red, Chain",Laura Jersey Midi Shirt Dress,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/laura-jersey-midi-shirt-dress-post-box-red-chain/sty-d1069-drd?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1069_drd_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_nav_s.jpg
84,Tops,Boden,Navy Stripe,Connie Relaxed Silk Shirt,,£160.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/connie-relaxed-silk-shirt-navy-stripe/sty-t1681-nav?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_t1681_nav_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1681_dbl_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1681_nav_s.jpg
