Brand,Category,Product Link,Main Image,Product Name,Colour,Current Price,Main Image,Swatch Image 1,Swatch Image 2,Swatch Image 3,Discount,Original Price
Pixie Girl,Knitwear,https://www.pixiegirl.com/pixiegirl-royal-blue-chenille-high-neck-jumper-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a8478fcd-4746-49_225095_A.jpg,PixieGirl Royal Blue Chenille High Neck Jumper,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/a8478fcd-4746-49_225095_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/49e5ac52-c946-42_225094_X.jpg,,,,
Pixie Girl,Nightwear & Loungewear,https://www.pixiegirl.com/pixiegirl-navy-blue-cuffed-joggers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b05f1360-8cdb-4a_225126_A.jpg,PixieGirl Navy Blue Cuffed Joggers,Blue,£19,https://cdn.pixiegirl.com/Images/ProductImages/Big/b05f1360-8cdb-4a_225126_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/49405b50-4ff2-44_223930_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/4ab8e1fd-1771-47_225124_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/7655f81e-f700-49_225122_X.jpg,,
Pixie Girl,Jeans,https://www.pixiegirl.com/petite-indigo-blue-skinny-stretch-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7f30664c-94b0-47_222032_C.jpg,PixieGirl Indigo Blue Skinny Stretch AVA Jeans,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/7f30664c-94b0-47_222032_C.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/4a544390-729e-4e_222033_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/3cb66eb7-a26b-4d_222258_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/1682e3d6-84f1-47_222259_X.jpg,,
Pixie Girl,Tops,https://www.pixiegirl.com/navy-v-neck-tunic-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ad929174-884d-43_223018_A.jpg,PixieGirl Navy Blue V-Neck Knitted Tunic Top,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/ad929174-884d-43_223018_A.jpg,,,,,
Pixie Girl,Dresses,https://www.pixiegirl.com/pixiegirl-blue-asymmetric-tiered-maxi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3888d387-61a6-4c_224547_A.jpg,PixieGirl Blue Asymmetric Tiered Maxi Dress,Blue,£26.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/3888d387-61a6-4c_224547_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/bc695590-d21c-40_224546_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/c4086015-0801-4e_224548_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/5e534a37-4bab-41_224992_X.jpg,,
Pixie Girl,Nightwear & Loungewear,https://www.pixiegirl.com/pixiegirl-blue-broderie-anglaise-dressing-gown-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/737bdc47-d283-4e_223216_A.jpg,PixieGirl Blue Broderie Anglaise Dressing Gown,Blue,£10,https://cdn.pixiegirl.com/Images/ProductImages/Big/737bdc47-d283-4e_223216_A.jpg,,,,(67% OFF),£29.99
Pixie Girl,Coats & Jackets,https://www.pixiegirl.com/pixiegirl-blue-blurred-check-print-longline-shacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cca529ea-196e-46_225422_1.jpg,PixieGirl Blue Blurred Check Print Longline Shacket,Blue,£55,https://cdn.pixiegirl.com/Images/ProductImages/Big/cca529ea-196e-46_225422_1.jpg,,,,,
Pixie Girl,Tops,https://www.pixiegirl.com/blue-check-boyfriend-shirt-225541-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a9c1ac15-3b07-48_225541_A.jpg,PixieGirl Blue Woven Check Overshirt,Blue,£24.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/a9c1ac15-3b07-48_225541_A.jpg,,,,,
Pixie Girl,Jumpsuits & Playsuits,https://www.pixiegirl.com/washed-blk-ss-zip-thru-jumpsuit-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/43424bf7-f5a2-4e_224656_A.jpg,PixieGirl Blue Zip Through Jumpsuit,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/43424bf7-f5a2-4e_224656_A.jpg,,,,(57% OFF),£35
Pixie Girl,Tops,https://www.pixiegirl.com/petite-blue-oversized-cotton-shirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/dcf61f5d-11a1-44_222181_C.jpg,PixieGirl Blue Oversized Cotton Shirt,Blue,£5,https://cdn.pixiegirl.com/Images/ProductImages/Big/dcf61f5d-11a1-44_222181_C.jpg,,,,(81% OFF),£26.99
