Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,
Mint Velvet,Trousers,White,https://mintvelvet.com/products/products-ivory-wide-leg-darted-trouser,https://mintvelvet.com/cdn/shop/files/ivory-wide-leg-darted-trouser_1_240918014033_840x.jpg?v=1224930,White Wide Leg Darted Trousers,£135.00,,,,,,,,,,white wide leg darted trousers
Mint Velvet,Jeans,White,https://mintvelvet.com/products/cream-workable-wide-jeans,https://mintvelvet.com/cdn/shop/files/cream-workable-wide-jeans_1_240809105439_840x.jpg?v=1224930,White Workable Wide Jeans,£99.00,,,,,,,,,,white workable wide jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-wide-leg-jean,https://mintvelvet.com/cdn/shop/files/washed-black-wide-leg-jean_1_240805040727_840x.jpg?v=1224930,Washed Black Super Soft Wide Leg Jeans,£89.00,,,,,,,,,,washed black super soft wide leg jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-wide-leg-trousers-1,https://mintvelvet.com/cdn/shop/files/black-wide-leg-darted-trouser_1_240626112345_840x.jpg?v=1224930,Black Wide Leg Trousers,£135.00,,,,,,,,,,black wide leg trousers
Mint Velvet,Trousers,Brown,https://mintvelvet.com/products/animal-print-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/animal-print-wide-leg-trouser_1_240820025050_840x.jpg?v=1224930,Leopard Print Wide Leg Trousers,£99.00,,,,,,,,,,leopard print wide leg trousers
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-studded-wide-jean,https://mintvelvet.com/cdn/shop/files/washed-black-studded-wide-jean_1_240910095953_840x.jpg?v=1224930,Washed Black Studded Wide Jeans,£119.00,,,,,,,,,,washed black studded wide jeans
Mint Velvet,Trousers,Khaki,https://mintvelvet.com/products/khaki-leather-tapered-trouser,https://mintvelvet.com/cdn/shop/files/khaki-leather-tapered-trouser_1_241002104340_840x.jpg?v=1224930,Khaki Leather Tapered Trousers,£299.00,,,,,,,,,,khaki leather tapered trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-crop-wide-jeans,https://mintvelvet.com/cdn/shop/files/mid-indigo-crop-wide-jeans_1_240809105537_840x.jpg?v=1224930,Mid Indigo Crop Wide Jeans,£89.00,,,,,,,,,,mid indigo crop wide jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/black-mid-rise-slim-jeans,https://mintvelvet.com/cdn/shop/files/black-mid-rise-slim-jeans_1_240809104953_840x.jpg?v=1224930,Black Mid Rise Slim Jeans,£89.00,,,,,,,,,,black mid rise slim jeans
Mint Velvet,Trousers,Gray,https://mintvelvet.com/products/grey-drawstring-wide-trousers,https://mintvelvet.com/cdn/shop/files/grey-drawstring-wide-trousers_1_24062601406_840x.jpg?v=1224930,Grey Drawstring Wide Trousers,£99.00,,,,,,,,,,grey drawstring wide trousers
Mint Velvet,Jeans,Khaki,https://mintvelvet.com/products/camouflage-cargo-straight-jean,https://mintvelvet.com/cdn/shop/files/camouflage-cargo-straight-jean_2_240516124044_840x.jpg?v=1224930,Camouflage Print Straight Jeans,£99.00,,,,,,,,,,camouflage print straight jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-tapered-trousers-1,https://mintvelvet.com/cdn/shop/files/black-tapered-trousers-1_1_240730072720_840x.jpg?v=1224930,Black Tapered Pleated Trousers,£119.00,,,,,,,,,,black tapered pleated trousers
Mint Velvet,Trousers,Gray,https://mintvelvet.com/products/grey-pleated-tailored-trousers,https://mintvelvet.com/cdn/shop/files/grey-pleated-tailored-trousers_1_240805081930_840x.jpg?v=1224930,Grey Pleated Tailored Trousers,£119.00,,,,,,,,,,grey pleated tailored trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/indigo-pleat-front-wide-jeans,https://mintvelvet.com/cdn/shop/files/indigo-pleat-front-wide-jeans_1_240715110946_840x.jpg?v=1224930,Indigo Pleat Front Wide Jeans,£99.00,,,,,,,,,,indigo pleat front wide jeans
